table_name,column_name
t_column_props,table_name
t_column_props,col_name
t_column_props,is_system_col
t_column_props,is_user_key
t_column_props,is_required
t_column_props,is_visible
t_column_props,is_editable
t_column_props,is_clickable
t_column_props,form_column
t_column_props,widget_type
t_column_props,label_text
t_faculty,name
t_faculty,job_title
t_faculty,phd_univ
t_faculty,phd_year
t_faculty,research_area
t_faculty,research_concentration
t_faculty,research_focus
t_faculty,url
t_faculty,img_url
t_faculty,phone
t_faculty,email
t_faculty,cell_phone
t_faculty,office_address
t_faculty,department
t_faculty,school
t_faculty,note
t_note,title
t_note,note
t_note,url
t_note,tags
t_note,ts
t_note,id
t_note,ref_type
t_note,ref_key
t_org,name
t_org,url
t_org,note
t_person,name
t_person,url
t_person,email
t_person,first_name
t_person,mid_name
t_person,last_name
t_person,note
t_person_team,id
t_person_team,ts
t_person_team,ref_type
t_person_team,ref_key
t_person_team,ref_type_2
t_person_team,ref_key_2
t_person_work,id
t_person_work,ts
t_person_work,ref_type
t_person_work,ref_key
t_person_work,ref_type_2
t_person_work,ref_key_2
t_research_group,research_group
t_research_group,url
t_research_group,note
t_team,name
t_team,url
t_team,note
t_work,type
t_work,title
t_work,url
t_work,summary
t_work,authors
t_work,tags
t_work,note
t_work,ts_created
t_work,id
t_work,ts
